GPSLat,GPSLon,GPSAlt,AmbTemp,CO2_ppm_zscore,CH4_ppb_zscore,CO_ppb_zscore,H2O_pct_zscore,NO_ppbv_zscore,NO2_ppbv_zscore,NOy_ppbv_zscore,O3_ppbv_zscore,NOx_ppbv_zscore,Ox_ppbv_zscore
38.552,-121.306,180.5,,1.4683812993225827,,,1.5539193731962828,-0.43313959836074223,-1.1457975265084155,-1.5912954856092423,0.9783413511743945,-1.100148402394479,0.9635783189059923
38.552,-121.306,183.64,,,1.8952088607151658,,,1.0525555661294492,-0.7142374065510286,-0.8124878706101647,0.9021262270464343,0.81059048738194,0.8927908871951925
38.552,-121.307,186.57,,,,2.12075625585773,1.5325761259915447,0.062092123135988296,-0.7823784781232476,-0.2627413188461098,0.9130574799094089,-0.34306318191702995,0.9031203836680147
38.552,-121.307,190.04,,1.397596272975636,1.9222019905453753,,,-0.03273948310806649,0.1943102144118911,0.6718278191527832,0.7724694222550466,0.06552249262635518,0.7755207213567034
38.551,-121.308,191.7,,,,2.277747825874263,,0.9155765793324813,-0.5098141918343716,0.05794416968292216,,0.7625215844944828,
38.551,-121.308,193.81,,1.397596272975636,1.9033067996642274,,1.5396905417264575,-0.3488448372549158,-0.6006689539306636,-0.1161422383756952,,-0.7155971792948222,
38.551,-121.309,195.27,,,,2.106484294947136,,1.7690610355289744,-2.326909433760211,0.0029695145065166345,,0.7865560359382114,
38.551,-121.309,196.17,,1.3102445383347114,,,1.5112328787868066,0.9366502696089379,-1.0322290738880504,-1.4172090775506248,,0.5221770700571974,
38.55,-121.31,199.39,,,1.7845370284113091,,,-1.4236030413542031,-0.8959469307436123,-0.24441643378730799,0.7660928580849781,-2.0975781373092137,0.754557919691273
38.55,-121.31,202.16,,1.2816293149178593,,2.2549126884173125,1.4756608001122433,-2.9409087412590793,0.9211483111822271,-0.40934039931652444,0.7278334730645692,-2.866680583508527,0.7402789098611986
38.55,-121.311,207.26,,,1.930299929494437,,,0.8523555085031114,-1.0549427644121234,-0.4643150544929299,0.6573876212809583,0.4140220385604191,0.6436677369683476
